Latitude,Longitude
51.45452,-94.11688
47.76067,11.57294
28.00831,136.25477
43.7481,134.25626
-57.60465,26.89056
57.26226,86.45923
74.14152,31.73997
-12.75438,-92.36097
47.92817,-74.51573
-18.85448,-93.43087
-16.43357,-50.6215
19.44925,101.49587
-18.57547,-106.42363
17.84884,-63.20785
33.89026,-60.7219
-48.87899,-148.15932
38.63751,136.35394
22.0256,33.51705
-18.63905,-83.86767
6.96619,108.01809
-3.23721,158.03824
4.35705,147.51637
-14.7554,155.0422
10.56668,-64.19092
-5.72402,145.78152
37.96852,26.41529
-51.42488,-97.1723
-32.23147,44.39872
51.08006,11.1936
-13.29676,34.21703
-30.09078,95.5543
-27.76427,-58.25398
-31.46263,153.5776
51.35071,161.59165
-0.0124,-62.39426
-6.96247,32.04586
-5.92226,115.61222
-76.57996,136.6913
32.62945,-129.91842
-40.62559,16.79569
14.45769,-179.79056
16.4133,-146.57355
-47.3114,65.97687
-78.06794,-59.17924
-22.13604,-48.83761
68.37526,49.05949
-83.79965,141.59759
39.44806,-64.16802
35.15854,-126.03588
-64.69487,-121.05646
